Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
49.0,1310996.27,78365.75,0.4,0.33,3944689.17,570999.59,723.0,7.18,9.41,8.3,0.08,131025.32,70624.39,Gold,4682336.51
44.0,484304.47,24374.55,0.41,0.33,1290271.84,550128.7,653.0,5.77,8.04,0.0,0.07,152495.62,66328.87,Silver,1714458.93
45.0,1642672.76,64714.95,0.4,0.46,3357777.11,472211.33,642.0,4.54,7.27,11.4,0.47,347252.21,147266.58,Silver,4357074.59
40.0,1450540.72,57155.74,0.12,0.34,1336971.42,1026755.88,682.0,3.61,4.0,10.5,0.31,267208.15,81740.79,Bronze,1579499.04
46.0,804249.69,48748.28,0.08,0.4,3425922.37,493098.68,674.0,4.46,7.84,14.7,0.41,273320.93,52427.27,Silver,3717088.1
21.0,1017469.09,51718.46,0.44,0.84,3738381.4,505786.06,527.0,5.18,5.13,7.4,,227130.05,72780.98,Silver,4366742.01
37.0,894636.18,46370.32,0.08,0.25,1377859.26,849046.57,686.0,5.82,6.36,3.5,0.23,319987.73,,Gold,1681667.1
42.0,1981138.04,82114.29,0.03,0.22,3141215.42,518717.95,,5.63,5.65,11.5,0.25,345628.57,264306.95,Silver,3791094.33
28.0,654504.65,43075.92,0.51,0.38,1540464.44,1163917.38,654.0,6.25,6.95,10.5,0.3,249662.17,49959.38,Gold,1907432.16
44.0,954129.12,50894.78,,0.56,2346590.54,970024.36,641.0,4.48,6.55,13.1,0.47,173037.88,138454.11,Bronze,2801456.68
38.0,758343.64,36383.7,,0.46,,1081103.33,636.0,6.93,6.79,,0.36,322821.93,96803.97,Bronze,1540512.29
58.0,507338.59,27950.51,0.48,0.44,867699.61,2388450.21,598.0,,7.39,6.1,0.33,144071.41,67954.17,Silver,1295038.9
56.0,2162564.5,94188.91,0.31,0.43,4661099.06,662270.05,684.0,6.19,7.76,9.8,0.34,,184190.13,Bronze,5869112.72
35.0,561026.49,20936.76,0.03,0.08,965232.23,975579.54,777.0,5.59,7.75,7.7,0.26,99493.54,80774.19,Silver,1175311.73
38.0,982840.1,56751.9,0.36,0.07,3191463.98,426757.29,629.0,5.92,7.42,1.2,0.31,231528.17,100202.96,Silver,3752543.6
39.0,448592.33,21207.2,0.19,0.34,1436847.69,1021539.81,,7.53,6.46,11.8,0.35,160333.06,66056.49,Gold,1602320.24
35.0,767214.6,39466.31,0.18,0.17,983063.55,1037475.4,676.0,6.98,6.31,6.0,0.3,453317.47,48025.24,Gold,1431328.15
,1065481.72,44847.83,,0.33,2338498.79,1198359.58,657.0,6.86,7.78,8.5,0.21,197613.68,139501.55,Gold,3106636.39
32.0,647100.21,,0.04,0.06,892516.9,770958.13,718.0,5.79,6.78,5.7,0.32,239533.17,46652.12,Gold,1043590.0
29.0,1138100.02,,0.43,0.52,3481961.74,,645.0,5.89,7.39,5.8,0.25,258156.09,77650.32,Silver,4174214.78
46.0,808174.76,,0.16,0.35,1678488.42,834018.57,,5.14,8.75,8.3,0.33,150842.43,108650.74,Gold,1981357.0
46.0,1431427.92,58918.77,0.08,0.36,2106081.91,885153.51,708.0,4.91,5.28,7.5,0.29,312837.85,211002.77,Bronze,2790641.69
32.0,1551688.74,,0.29,0.35,4383363.11,3991531.69,697.0,6.16,6.85,5.2,0.12,239737.64,178417.97,Bronze,5182232.18
,711728.74,40252.11,0.11,0.24,1292429.38,827275.89,703.0,5.16,,18.7,0.33,212366.31,78705.81,Silver,1441044.15
34.0,928052.13,34460.36,0.11,0.38,2949817.67,865695.7,638.0,4.33,6.44,6.5,0.43,621924.09,65546.84,Silver,3703784.59
43.0,968527.09,27911.45,0.37,0.41,2730671.95,1336474.06,696.0,6.74,7.6,15.1,0.4,117075.43,58195.05,Silver,3131277.99
48.0,1153013.79,35342.04,0.14,0.16,2069008.63,203125.56,705.0,5.49,7.65,7.3,0.14,93177.62,113742.26,Bronze,2521996.4
40.0,905192.44,26293.68,0.2,,2669643.18,726922.06,684.0,6.47,4.35,8.6,0.28,302173.84,75718.37,Gold,3238739.55
45.0,971148.26,,0.05,0.5,1155146.61,585893.25,617.0,6.1,6.96,7.0,0.3,207362.29,62428.8,Silver,1467820.54
35.0,816504.3,34917.9,0.37,0.29,2039968.88,701252.8,696.0,4.63,8.82,12.1,0.47,,111472.76,Silver,2646114.63
38.0,942457.39,31171.31,0.24,0.49,2638687.87,865464.89,,5.04,7.45,2.3,0.05,66235.84,107941.38,Bronze,3098617.96
38.0,1512578.12,86110.53,0.45,0.04,4537416.73,1162893.57,749.0,6.31,8.46,8.5,0.43,280547.4,,Gold,5599505.99
33.0,1165409.8,37789.68,0.3,0.3,2824919.31,635120.25,710.0,3.77,7.31,13.6,0.48,240915.63,132507.46,Gold,3530701.29
38.0,1191415.08,,0.3,0.32,1957727.33,2050541.07,702.0,,5.07,8.7,0.33,208760.16,,Silver,2400609.87
25.0,1201856.7,58143.08,0.15,0.28,3999085.31,1334976.02,654.0,5.41,7.87,0.0,0.08,269626.75,,Silver,4688969.26
35.0,846297.75,24674.89,0.23,,3443082.61,701959.65,671.0,6.71,7.68,12.7,0.42,265741.92,102636.02,Gold,4198236.08
37.0,1022417.89,64397.27,0.15,0.23,1006975.97,287082.06,629.0,5.92,,1.2,0.12,120017.26,93797.09,Silver,1292328.02
37.0,583080.52,24780.05,0.31,0.23,957167.41,735309.63,660.0,8.59,7.08,4.7,0.27,195805.42,38321.61,Gold,1142203.46
38.0,,64386.72,0.21,0.35,4890203.76,664043.41,748.0,6.53,5.73,5.5,0.26,416374.48,215020.91,Silver,5939685.2
39.0,300000.0,15632.5,0.16,0.36,1177616.35,588644.41,725.0,5.54,6.28,14.2,0.46,285658.01,27409.34,Silver,1666234.53
45.0,869167.11,46208.75,0.28,0.24,3175185.08,403465.99,611.0,5.87,6.03,16.9,0.43,264691.88,80031.47,Silver,3764702.15
49.0,1420484.31,60266.54,0.56,0.04,1911581.83,1036156.85,634.0,4.05,6.78,0.9,0.13,214589.7,121127.12,Silver,2970881.65
34.0,521572.14,20238.17,0.14,0.35,1519968.28,260568.48,639.0,5.77,8.16,10.6,0.44,167247.98,31210.43,Gold,1960386.64
28.0,1056066.81,36997.72,0.17,0.1,1183110.02,1913975.38,633.0,4.94,7.31,10.9,0.36,219893.45,56320.97,Silver,1542664.04
30.0,685458.66,,,0.21,1418840.48,910994.52,649.0,5.16,5.45,15.0,0.53,275047.69,72268.02,Bronze,1931360.35
35.0,776559.65,30858.84,0.51,0.28,2608030.33,854006.29,709.0,5.59,6.32,4.0,0.23,182119.28,84184.88,Gold,3203929.85
36.0,1313921.09,46894.03,,0.13,3882819.05,3024396.04,734.0,7.6,8.58,4.0,0.29,80277.27,80732.46,Silver,4380846.14
32.0,974200.89,45393.59,0.06,0.09,1046180.94,1073936.01,670.0,7.18,5.32,20.7,0.63,,100099.6,Silver,1437758.14
27.0,398876.73,25817.59,0.64,0.28,1607451.81,803456.15,637.0,5.24,7.31,12.2,0.39,161868.33,55280.55,Silver,1940831.17
35.0,609003.82,25994.85,0.65,0.11,1284741.35,542418.97,675.0,4.02,6.03,11.6,0.29,280639.99,52578.86,Silver,2108735.62
42.0,1329461.24,49122.01,0.4,0.24,1792040.37,715845.6,722.0,,8.45,8.2,0.32,309009.39,72392.58,Silver,2585708.9
46.0,1077040.04,,0.53,0.63,1151677.89,472755.03,716.0,4.54,8.83,15.5,0.51,191655.61,85910.35,Gold,1710674.29
34.0,1811026.32,57221.5,0.34,0.46,1631116.42,550730.54,655.0,5.53,6.69,16.8,0.45,266958.01,191838.78,Silver,2331704.07
36.0,1764202.1,86109.16,0.36,0.19,2127402.58,403184.61,785.0,5.39,5.51,3.8,0.08,277114.73,220026.43,Gold,3096101.38
31.0,784853.21,,0.33,0.39,2620421.52,1615524.08,673.0,6.93,5.82,6.7,0.46,,102910.77,Silver,3082770.44
40.0,2449624.15,136546.65,0.33,0.29,4269334.26,741166.04,587.0,,8.39,14.4,,269646.47,203482.78,Gold,5439439.93
32.0,908855.97,28837.02,0.59,0.34,3473720.32,362388.16,734.0,5.72,5.71,5.3,0.29,156979.61,49729.67,Silver,4266694.91
46.0,612364.29,29025.79,0.4,0.49,967665.07,1063668.91,658.0,6.15,5.98,9.7,0.38,171491.42,60218.87,Gold,1291616.65
22.0,698502.54,26392.26,0.43,0.38,,790806.14,714.0,6.35,7.91,12.4,0.3,101531.95,87401.41,Silver,2085727.94
36.0,,25811.6,0.09,0.27,1644205.8,398039.7,640.0,5.15,9.32,11.1,0.32,76771.54,37798.41,Silver,1847785.88
43.0,1711631.63,97364.37,0.27,0.37,5000000.0,519229.29,694.0,3.67,8.3,5.8,0.19,236023.07,194457.04,Silver,6098897.71
42.0,1703260.37,59288.5,0.19,0.14,1758657.57,526128.05,677.0,6.95,8.47,8.8,0.27,282825.67,236507.61,Silver,2672284.24
65.0,599557.44,30330.84,0.55,0.38,1837683.93,4120545.9,626.0,6.7,7.65,8.7,0.12,154359.9,73725.11,Silver,2183818.78
43.0,821589.64,49843.09,0.28,0.24,2774597.23,1189096.11,632.0,6.3,5.83,3.7,0.26,268060.48,73306.06,Gold,3476401.49
30.0,935085.32,35850.9,0.25,0.09,2256713.52,1473904.31,625.0,6.77,6.7,0.1,0.03,148663.2,83262.81,Silver,2750793.98
39.0,612931.72,22013.83,0.33,0.48,1335262.01,738753.87,609.0,5.22,8.28,10.3,0.27,203718.33,86418.65,Silver,1886709.95
22.0,446015.61,16925.79,0.38,0.26,742635.28,471659.61,678.0,5.35,8.07,15.4,0.53,254952.84,,Silver,1081120.85
,827369.77,34198.77,0.18,0.03,2012159.32,258080.73,718.0,4.75,9.1,0.0,0.21,233091.0,93555.3,Silver,2379856.02
32.0,791526.21,46431.57,0.34,0.17,,545106.19,651.0,6.45,6.93,8.3,0.44,246639.62,68312.44,Silver,2176779.57
49.0,770492.77,46033.19,0.21,0.41,2591000.31,2081767.39,604.0,6.21,5.14,5.5,0.25,121428.16,68248.03,Gold,2768283.25
,983857.62,34866.08,0.6,0.14,2026363.23,625790.23,763.0,5.95,5.96,12.5,0.48,291641.17,140879.2,Silver,3034206.95
39.0,1594320.06,58516.99,0.17,0.61,2841644.11,955586.98,618.0,6.06,6.88,8.3,0.39,257432.23,147424.91,Gold,3462365.64
34.0,797241.52,34602.76,0.17,0.45,2885707.21,736792.94,719.0,4.8,6.31,7.7,0.32,135781.5,105752.82,Silver,3387753.28
57.0,963499.49,,0.32,0.21,,,656.0,5.21,8.5,5.6,0.22,188481.88,100326.28,Gold,3113495.67
37.0,1203685.01,59736.15,0.23,0.4,2473807.76,,641.0,5.08,4.0,15.0,0.51,225634.46,64815.66,Silver,3084312.58
58.0,1123329.06,52796.25,0.3,0.51,3590874.01,793932.67,674.0,6.91,4.96,7.7,0.23,131231.33,72477.13,Gold,4229457.52
48.0,703892.29,36358.24,,0.58,671963.78,287253.02,628.0,4.73,7.74,9.6,0.41,216197.79,60965.36,Silver,1094977.12
45.0,935373.22,30989.12,0.66,0.47,,1214745.96,,6.02,6.08,11.0,0.35,135564.22,112219.29,Bronze,2275705.32
44.0,1120365.99,51726.35,0.19,0.29,1386937.41,614801.45,701.0,6.92,4.52,6.7,0.24,,73984.16,Silver,1799308.49
44.0,573096.57,39759.66,0.06,0.23,1170040.67,699639.63,617.0,5.59,8.65,3.8,0.3,244678.13,43438.68,Gold,1506329.99
21.0,1491906.88,44926.9,0.23,0.17,3841024.15,264116.03,665.0,7.15,,9.5,0.34,418851.68,133816.86,Silver,4709910.53
37.0,1595640.22,72130.1,0.34,0.3,4134235.51,829139.1,645.0,,6.27,4.7,0.18,330045.97,88256.11,Silver,5135975.94
48.0,674035.42,31832.04,0.38,0.24,2667996.68,,699.0,7.34,6.26,7.0,0.33,196374.1,60548.56,Silver,3224539.13
40.0,972492.9,47168.76,0.05,0.36,2763686.95,724347.37,691.0,6.17,9.8,2.0,0.1,251817.64,52103.06,Silver,3112340.4
26.0,1163637.4,56921.56,,0.37,1903244.81,389966.16,594.0,6.39,5.16,10.1,0.3,303777.97,,Gold,2513684.38
39.0,723535.13,39350.31,0.57,0.28,1975974.44,387828.65,720.0,5.53,5.97,5.5,0.19,252448.88,67902.34,Silver,2611513.71
57.0,1091207.65,,0.11,0.33,2369572.9,721495.14,631.0,5.53,10.24,13.3,0.52,218050.26,124581.51,Silver,2952794.87
52.0,,41431.86,0.7,0.68,1353879.98,665487.77,684.0,5.67,7.71,1.9,0.3,119793.52,52447.34,Gold,1801148.26
39.0,500309.79,27752.67,0.21,0.3,1789961.33,522086.75,692.0,6.33,8.09,14.9,0.45,77848.38,43916.28,Silver,2166281.09
50.0,1081451.38,34908.04,0.26,0.59,2983327.69,243161.34,662.0,5.54,6.98,10.4,,122402.58,134056.93,Gold,3469636.47
36.0,579599.76,30013.82,0.24,0.63,521314.98,2512487.32,597.0,5.65,7.71,9.4,,471035.28,,Gold,837088.26
23.0,1310384.53,,0.36,0.18,1904633.13,976770.31,776.0,4.78,7.98,5.8,0.19,256053.31,152940.9,Bronze,2750890.31
31.0,688083.59,38933.96,,0.07,1000680.87,390510.85,640.0,6.15,5.35,8.5,0.35,125597.88,88341.34,Silver,1466981.05
56.0,843770.54,33317.88,0.53,0.47,2548745.18,712952.9,642.0,6.07,7.79,8.1,0.23,204255.57,102972.16,Silver,3092235.17
37.0,1558230.76,42670.79,,0.54,5000000.0,476171.37,641.0,7.34,8.06,0.0,0.13,223349.43,101368.56,Silver,5634505.57
38.0,1097672.63,39435.16,0.09,0.64,,736947.32,574.0,7.31,9.77,16.0,0.41,276956.51,144856.76,Bronze,3462558.07
37.0,,39156.58,0.08,0.25,1228140.96,1122987.73,718.0,6.73,6.69,5.8,0.25,,53904.16,Gold,1506216.67
59.0,599699.16,28163.68,0.22,0.67,3118567.69,452079.59,682.0,4.78,7.8,16.1,0.55,249988.97,84438.79,Gold,3653792.6
56.0,708162.54,27178.91,0.1,0.38,1887471.21,1334428.06,671.0,5.46,7.84,11.2,0.29,144133.63,55001.96,Silver,2244757.21
,1053899.52,36877.65,0.4,0.53,3417696.42,522235.88,625.0,5.55,6.45,7.8,0.22,455625.72,111916.82,Silver,4191138.82
38.0,1038689.07,41040.63,0.44,0.51,,529097.26,689.0,7.04,8.85,2.3,0.0,220765.48,135576.52,Silver,5006664.68
43.0,642363.18,22073.69,0.42,0.23,2255150.6,625543.48,672.0,7.17,5.87,10.4,0.25,123110.11,71094.95,Bronze,2808687.06
25.0,564257.65,27805.07,0.73,0.48,2019471.16,1261873.45,627.0,6.17,4.58,3.6,0.19,243798.04,54365.34,Gold,2509104.32
55.0,1007299.36,34629.72,0.33,0.25,3740013.84,230744.4,620.0,4.56,5.83,4.7,0.21,171439.04,129046.4,Gold,4587084.08
28.0,836854.93,42315.2,0.59,0.28,1469563.14,1415481.0,593.0,7.23,10.39,7.2,0.2,298057.31,55518.87,Silver,1915190.0
42.0,2132992.32,68164.98,0.25,0.38,5000000.0,757496.25,616.0,4.55,5.49,11.8,0.49,80901.01,196528.06,Silver,5954222.3
29.0,913274.26,37912.55,0.41,0.15,1063439.24,490499.6,752.0,5.6,6.69,10.8,,259512.35,64962.35,Silver,1610823.45
34.0,1859561.33,89625.03,0.32,0.68,4932449.33,2081006.92,590.0,,6.06,10.2,0.25,293594.53,167993.92,Silver,5685520.35
32.0,,19805.3,0.27,0.29,796557.9,484214.72,726.0,7.2,9.36,22.7,0.84,180078.52,,Silver,1118126.15
34.0,479675.38,19247.95,0.29,0.23,1016029.88,932716.52,617.0,6.16,4.65,13.6,0.16,,53933.87,Silver,1357082.52
35.0,574994.63,22425.73,0.17,0.5,859756.2,300090.72,660.0,5.7,6.41,0.0,0.12,146456.18,55488.16,Gold,1153346.75
35.0,1448156.54,51405.31,0.49,0.25,4012486.17,716035.72,665.0,4.99,10.38,6.4,0.33,201623.08,99123.06,Gold,5191304.24
48.0,1816806.19,87451.92,0.39,0.11,4621491.78,360747.01,677.0,5.33,7.18,11.4,0.4,,136500.71,Silver,5968746.82
29.0,658209.31,35944.07,,0.09,1119666.0,1421194.49,654.0,,5.77,5.6,0.17,266226.71,83408.86,Bronze,1511502.61
42.0,748572.72,40959.34,0.12,0.52,2235731.43,470770.83,642.0,4.84,6.21,16.6,,130246.61,53331.2,Gold,2536486.15
52.0,,23288.42,0.04,0.2,1551511.23,,724.0,6.17,4.64,4.2,0.23,122970.24,40789.36,Bronze,1875381.11
35.0,436042.11,19985.04,0.06,0.72,661891.8,774224.21,657.0,4.93,7.59,15.9,0.51,197656.81,64517.76,Silver,1014682.85
33.0,1199619.19,46819.43,0.22,0.4,,1163828.24,690.0,5.1,4.28,1.7,0.13,187176.09,119687.86,Silver,2914077.53
38.0,983977.36,48727.29,0.04,0.51,1088622.26,764438.97,656.0,4.39,6.95,18.1,0.64,227175.86,122847.9,Gold,1525948.39
52.0,903783.6,41928.92,0.13,0.26,1076021.07,708507.14,708.0,,5.91,3.6,,279356.25,65078.59,Bronze,1525898.28
42.0,514076.53,24644.96,0.36,0.42,1902093.02,474482.63,681.0,5.85,6.9,7.1,0.16,86601.24,31906.41,Gold,2370749.81
35.0,1734331.71,93000.57,0.27,0.22,1710351.93,450825.84,669.0,,,14.4,0.51,189090.44,133966.1,Silver,2436004.07
,735868.97,25587.32,0.06,0.61,928484.74,917215.14,690.0,6.18,4.86,10.9,0.34,259941.13,58230.96,Silver,1237943.34
29.0,1114148.07,64895.77,0.16,0.58,4344583.63,1194505.41,668.0,5.38,6.39,1.4,0.07,126103.73,76938.39,Gold,4921550.09
47.0,502989.96,18755.27,0.43,0.11,1837614.51,1216384.09,670.0,4.97,8.56,9.5,0.44,107343.17,64725.98,Bronze,2161917.49
44.0,833959.37,50859.08,0.07,0.42,,893893.5,653.0,7.77,7.12,12.3,0.42,415140.72,79786.18,Gold,3059277.23
37.0,1011252.1,42990.5,0.67,0.59,3319593.87,,559.0,5.63,7.26,4.1,0.25,281253.14,102404.38,Silver,4044124.2
32.0,1025796.69,60444.5,0.14,0.3,1795590.45,1051708.7,618.0,5.38,9.92,13.2,0.47,250994.89,86858.19,Gold,2367751.13
31.0,957431.5,33300.08,0.18,0.52,2970569.02,421531.31,609.0,8.9,5.5,10.1,0.36,302093.95,115493.84,Bronze,3614026.03
45.0,1096856.63,46837.6,0.2,0.02,2711364.33,405891.75,724.0,5.36,5.88,4.5,0.18,177369.38,140729.9,Gold,3306446.68
52.0,572599.54,24144.51,0.22,0.41,1650969.3,348118.78,580.0,5.83,,6.3,0.16,212896.59,66602.46,Silver,2123358.37
34.0,973934.26,61637.99,0.41,0.16,3337347.45,591403.41,680.0,5.17,8.11,15.4,0.44,147251.02,140474.94,Silver,4292608.9
45.0,941898.8,57219.95,0.21,0.09,3003744.89,1370160.41,645.0,7.15,6.46,1.5,0.12,,100711.96,Silver,3700461.92
,987388.75,,0.54,0.42,2216561.49,1479972.64,561.0,5.43,8.22,8.2,0.23,130637.6,118738.11,Silver,2705360.31
34.0,926424.78,45938.4,0.54,0.51,1331808.12,609539.63,631.0,6.41,7.97,3.7,0.36,89276.63,93466.43,Bronze,1583272.47
40.0,540832.52,30031.61,0.35,0.71,1602481.75,1159508.83,615.0,6.86,6.58,,0.29,115572.02,70979.53,Silver,1810270.67
31.0,531272.39,19995.14,0.42,0.42,3564450.35,477547.78,643.0,6.48,6.12,2.9,0.24,750413.7,74153.32,Gold,4533137.25
31.0,371180.14,14705.98,0.24,0.57,,327334.24,670.0,4.93,9.58,0.0,,144130.73,,Bronze,2456869.36
33.0,1248138.56,77135.24,0.24,0.25,3235541.51,492044.61,673.0,6.92,6.16,10.7,0.32,199356.29,138677.87,Silver,3948978.81
43.0,1253202.77,55972.94,0.36,,3639027.39,831580.76,612.0,6.39,7.41,10.1,0.37,168581.06,159512.29,Silver,4237201.22
38.0,1261194.89,39403.87,0.35,0.08,1676593.26,645059.49,692.0,6.04,7.81,4.6,0.06,109199.27,124020.15,Bronze,2288479.64
21.0,1017506.95,36680.15,0.3,0.44,1229007.53,2034836.8,658.0,6.18,5.95,10.2,0.52,210327.67,136249.56,Silver,1743934.31
21.0,,18225.7,0.44,0.29,1893827.37,654772.18,638.0,,11.51,13.5,0.42,,28034.5,Bronze,2252092.41
34.0,596876.7,32763.81,0.53,0.63,1372281.56,463968.45,626.0,7.98,7.0,4.5,0.41,90009.43,,Bronze,1736791.6
45.0,963488.86,34806.35,0.15,0.53,1592155.72,823111.52,687.0,7.45,6.79,7.1,0.32,290147.7,68916.05,Bronze,1837065.74
21.0,950132.99,44394.37,0.31,0.19,2776550.54,1127430.49,719.0,7.22,6.61,3.6,0.27,87468.74,58205.99,Gold,3524942.87
35.0,823279.27,29384.04,0.16,0.14,896481.19,634710.06,694.0,5.82,8.2,5.4,0.22,146273.61,72823.15,Silver,1274866.77
,1043109.72,41448.98,0.14,0.59,1247920.47,201267.46,629.0,6.03,,13.3,0.49,157586.39,65033.05,Gold,1447120.22
54.0,904204.4,28362.21,0.33,0.4,2920700.78,302368.7,666.0,,5.0,,0.22,181193.1,97101.68,Bronze,3776231.12
36.0,944544.64,55898.19,0.47,0.08,3036698.47,993116.03,741.0,6.29,7.74,6.0,0.3,259720.06,106576.51,Silver,4030156.08
44.0,696988.3,28283.95,0.1,0.2,1470772.59,1116926.23,725.0,4.98,5.49,4.3,0.29,392704.91,,Silver,1872025.1
41.0,1333015.78,70883.82,0.43,0.42,2668521.93,1449213.77,671.0,4.81,9.27,7.9,0.38,136305.41,183940.37,Bronze,3388485.25
21.0,757547.41,36082.6,0.12,0.28,2200429.39,1445588.92,687.0,4.67,9.58,14.9,0.45,,96092.33,Silver,2643685.45
48.0,528548.8,27819.52,0.47,0.16,1639361.26,1065263.28,647.0,5.06,6.11,1.2,0.29,88929.18,72622.57,Gold,1980120.02
42.0,661159.53,28343.93,0.38,0.09,1911556.39,777877.92,653.0,5.27,8.18,7.8,0.21,70780.36,48238.26,Gold,2268551.47
45.0,782902.59,42415.31,0.15,0.19,2253732.81,1961937.79,703.0,5.97,6.92,9.9,0.48,310732.21,100659.52,Bronze,2739966.91
65.0,1339425.24,78572.23,0.33,0.57,3400003.57,691175.88,680.0,7.33,,11.3,0.45,115248.82,136378.76,Gold,4042339.12
21.0,,38238.95,,0.47,2345498.98,,663.0,5.41,9.06,18.6,0.46,111625.72,83624.24,Bronze,2736138.19
57.0,835420.74,30307.88,0.09,0.54,1740150.34,333618.26,594.0,6.71,7.92,13.0,0.53,297465.19,52476.84,Bronze,2046217.92
37.0,546169.51,29656.5,0.71,0.28,1737996.44,393794.1,788.0,5.95,7.32,2.0,0.0,499940.58,61791.13,Silver,2528189.09
43.0,1232238.61,45091.06,0.51,0.54,3353801.85,866821.72,598.0,5.58,7.86,9.1,0.52,170941.07,183441.87,Silver,4278993.46
,693404.76,38997.41,0.19,0.15,1861675.58,499934.05,674.0,6.47,6.71,10.1,0.35,184796.1,95948.0,Bronze,2344328.81
36.0,864700.86,28738.58,0.23,0.28,2507333.32,869912.83,592.0,5.75,6.31,12.7,0.34,109957.55,109346.32,Silver,3090027.54
34.0,1626959.14,77820.35,0.18,0.53,,1285553.15,633.0,6.19,7.47,8.3,0.31,218287.14,157700.23,Gold,5762788.37
43.0,1103122.52,51613.64,0.2,0.23,1360385.98,440878.41,726.0,3.78,6.13,9.7,0.33,,125825.45,Bronze,1574836.59
25.0,4692300.399999999,107328.70000000001,0.32,2.0,,476621.83,609.0,5.63,8.36,,0.44,157205.42,51508.74,Bronze,2341558.63
48.0,443452.49,25763.27,0.82,0.33,1620002.81,165971.95,698.0,6.47,7.02,12.0,0.48,207857.45,36998.3,Gold,2140093.42
36.0,877143.48,37457.2,0.26,0.07,1305341.77,686832.17,689.0,6.95,6.14,9.8,0.44,,89672.19,Gold,1802156.28
29.0,,23080.95,0.16,0.28,712583.25,916001.7,617.0,7.22,8.01,4.5,0.35,236017.15,,Bronze,1037141.94
35.0,1166558.76,49470.91,0.34,0.18,1603396.72,863417.34,678.0,7.48,7.18,7.3,0.51,200247.25,154740.6,Gold,2487110.28
53.0,915344.04,42695.6,0.11,0.21,2954886.73,867583.61,618.0,6.54,6.71,10.8,0.34,322597.1,47516.34,Silver,3518985.69
35.0,,34489.61,0.41,0.55,,832066.3,599.0,6.6,4.0,,0.3,98602.03,120000.26,Silver,3078333.44
44.0,678373.14,45344.91,0.14,0.24,1091481.52,803470.5,623.0,,6.91,12.6,0.51,286914.69,100194.54,Gold,1340040.35
33.0,1806141.76,90100.01,0.2,0.1,4229155.15,659868.78,710.0,6.4,7.09,5.3,0.32,305768.46,200334.72,Silver,5011926.81
48.0,2805767.09,84820.11,0.18,0.38,5000000.0,853849.54,719.0,7.15,8.23,0.0,0.24,172542.52,311610.16,Silver,6229431.76
47.0,805095.48,43526.62,0.45,0.03,1876137.86,1155653.03,649.0,7.88,4.76,11.7,0.28,83295.65,103085.4,Bronze,2327193.5
58.0,1036505.73,44477.43,0.21,0.35,2183538.14,196922.14,691.0,5.07,11.37,7.9,,145336.53,87861.81,Bronze,2628636.33
38.0,935762.5,46350.45,0.02,0.59,3295456.37,864003.47,631.0,5.69,,4.4,0.31,,77311.63,Silver,3680914.7
47.0,811204.37,31974.18,0.18,0.53,2710765.25,,666.0,6.39,4.62,2.7,0.27,185546.02,53992.59,Gold,3142183.27
,645204.02,35803.61,0.22,0.37,2291578.85,346147.21,632.0,6.03,7.48,2.9,0.19,110581.13,51193.93,Gold,2638184.31
53.0,583128.5,34545.18,0.45,0.33,1578182.47,322852.8,699.0,4.52,4.66,2.9,0.23,429814.93,75318.92,Gold,2097985.22
33.0,571437.92,27543.85,0.11,0.22,1807321.11,1439414.59,655.0,6.84,8.58,6.4,0.32,142197.97,64378.61,Bronze,1950912.45
47.0,1058375.83,37990.71,0.35,0.35,2684550.55,1497050.37,654.0,5.28,,10.7,0.26,117286.21,153248.72,Silver,3342360.37
38.0,731081.52,29354.59,0.26,0.16,,865242.97,711.0,,7.7,2.0,0.3,163028.64,61612.82,Silver,2512078.37
39.0,320883.34,15864.2,0.24,0.03,1109569.33,379629.67,710.0,4.49,4.9,12.5,0.36,360834.22,19472.51,Gold,1338067.12
41.0,1075281.81,37750.14,0.27,0.23,3223781.24,1306734.18,676.0,4.24,6.43,,0.14,423243.01,117999.21,Silver,4008581.26
43.0,886330.81,,0.25,0.23,2989540.88,928452.81,650.0,6.58,9.15,13.9,0.54,320305.08,57898.82,Bronze,3683497.19
39.0,1542352.25,81932.74,0.1,0.18,3368368.33,999657.45,746.0,4.66,5.39,6.8,0.23,299274.05,125850.05,Silver,4196082.41
42.0,1044865.79,61445.95,0.33,0.02,1837129.64,247168.52,766.0,5.8,9.12,7.1,0.2,256138.19,82656.18,Silver,2762137.53
56.0,498162.0,24338.48,0.16,0.4,1644520.42,1074101.8,757.0,6.6,7.31,0.0,0.17,233863.87,53681.26,Silver,2104393.93
50.0,368899.45,15884.94,0.45,0.27,1172094.6,1342329.93,728.0,6.61,8.73,9.2,0.32,290295.32,22674.79,Silver,1459068.19
49.0,674927.86,45417.01,0.21,0.62,1893608.23,680735.66,624.0,4.38,6.26,,0.5,144395.17,77471.25,Bronze,2291134.09
35.0,700890.59,42453.78,0.24,0.67,782120.9,480631.35,621.0,6.64,4.0,6.4,0.31,296644.17,41671.48,Silver,1171194.58
31.0,1312459.9,54321.77,0.24,0.39,3870406.68,592279.37,685.0,5.06,6.48,2.0,,88970.56,,Silver,4488567.18
